0ad 0.0.18
free-virtual-keyboard 2.7.3.0
frhed 1.6.0
frhed.install 1.6.0
frhed.portable 1.6.0
fritzing 0.9.2
frozenbytes.baseline.dev 1.0.2
frozenbytes.baseline.dev.core 1.0.5
frozenbytes.baseline.dev.sdks 1.0.5
frozenbytes.baseline.dev.tools 1.0.5
frozenbytes.baseline.dev.vs 1.0.5
frozenbytes.dev.essentials 1.01
frozenbytes.essentials 1.07
frozenbytes.extras 1.03
frozenbytes.repos 1.03
frozenbytes.vs2012.extensions 1.03
fruin.CloudStorage 0.0.1
f-secureav 2.6.303.0
f-secureis 2.6.303.0
FsResizer.install 3.3
fs-uae 2.4.1
fsum 2.52
fsumfrontend 1.5.5.1
fsviewer 4.6.0.1
ftprog 2.6.8
ftpuse 2.0.20131012
fuelscm 0.9.6
fuelscm.portable 0.9.6
fusioninventory-agent 2.3.15
fusioninventory-agent.install 2.3.15
fusioninventory-agent.portable 2.3.15
fv 0.6.3.5830
fxcop 10.0.30319.7
gae.sdk 1.6.6
gajim 0.16.1
Gallio 3.4.14.1
GallioBundle 3.4
gambit 4.6.6.20121126
gamebooster 5.1.38.0
gamedownloader 4.0.20150329
gamedownloader.install 4.0.20150329
gamedownloader.portable 4.0.20150329
ganttproject 2.6.5.1638
gauge 0.2.0
GAX2012 3.0.0.0
gb.MongoDB 2.4.7.0
gcc-arm 4.8.1
gcc-arm-embedded 4.8.2014.3
gcstar 1.6.1
gdevelop 3.6.80
gdipp 0.7.6
gdiview 1.20
geany 1.24.20141201
gedit 2.30
geforce-experience 2.2.2.0
geforce-game-ready-driver 352.86
genymotion 2.4.0
geogebra 4.4.16.0
geosetter 3.4.16
geosetter.portable 3.4.16
geppetto 4.3.1
geteventstore 2.0.1.6
getter1 4.2
gevent 1.0.4
gfwlive 3.5.92.0
ghost 0.5.5.1
Ghostscript 9.15
Ghostscript.app 9.16
gifcam 4.5.0.0
gimp 2.8.14.20151006
git 2.6.3
git.commandline 1.9.5.20150319
git.install 2.6.3
gitblit 1.6.2
git-credential-winstore 1.0.0
GitDiffMargin 3.0.0
GitDiffMargin.vs2012 1.0
GitDiffMargin.vs2013 2.0.0
gitextensions 2.48.05
giteye 1.5.0
git-flow-dependencies 0.2
git-helper 1.5
GitHub 3.0.7.1
github-build-from-label 1.1
githubforwindows 2.13.0.2
githublink 2.1.0
githubreleasemanager.portable 0.2.0
gitlink 2.1.0
gitpad 1.2
gitreleasemanager.portable 0.3.0
GitReleaseNotes 0.6.1
GitReleaseNotes.Portable 0.7.1
GitScc 1.0.0.3
GitSvnExternals 1.1.0.7
gitter 2.2.2
Git-TF 2.0.3.20131219
gittfs 0.23.0
GitVersion 1.0.0.1
GitVersion.Portable 3.3.0
Glassfish 3.1.2.004
glasswire 1.0.2.0
glfw3 3.0.4.2
glogg 1.0.2
GMac.Teamcity 8.1.2
gmail-growl 2.4.0
gmer 2.1.19357
gnucash 2.6.9
gnuplot 4.6.6
gnuplot.portable 4.6.6
GnuWin 0.6.3.1
goagent 13.4.1.18342
GoCiAgent 14.2.0
golang 1.5.1
goldendict 1.0.1
goldendict.install 1.0.1
goldendict.portable 1.0.1
goldendict-en-ru-en.install 1.0.1
golo 2.1.0
GoodSync 9.9.35
GoogleChrome 46.0.2490.86
GoogleChrome.Canary 28.0.1461.0
GoogleChrome.Dev 27.0.1453.12
GoogleChrome-AllUsers 26.0.1410.64
google-chrome-x64 46.0.2490.86
googlecl 0.9.14
googledrive 1.24.9931.5480
googleearth 7.1.4.1529
GoogleJapaneseInput 1.3.24.20141007
